Data,Valor,Identificador,Descrição
05/06/2026,6480.00,6f2c01100000-0000-4000-8000-788041820403,Transferência recebida pelo Pix - PAGADORIA XYZ LTDA
05/06/2026,-86.51,6f2c09900000-0000-4000-8000-788041820403,Compra no débito - CAFETERIA GRAO
08/06/2026,-1500.00,6f2c02200000-0000-4000-8000-788041820403,Pagamento de boleto efetuado - IMOBILIARIA CENTRO
10/06/2026,-236.79,6f2c08800000-0000-4000-8000-788041820403,Compra no débito - PADARIA REAL
10/06/2026,-79.80,6f2c19190000-0000-4000-8000-788041820403,Compra no débito - DROGARIA SAO PAULO
12/06/2026,-169.99,6f2c06600000-0000-4000-8000-788041820403,Compra no débito - PADARIA REAL
14/06/2026,-12.21,6f2c16160000-0000-4000-8000-788041820403,Compra no débito - 99 *POP
14/06/2026,-15.58,6f2c17170000-0000-4000-8000-788041820403,Compra no débito - 99 *POP
15/06/2026,-39.90,6f2c03300000-0000-4000-8000-788041820403,Compra no débito - NETFLIX.COM
15/06/2026,-21.90,6f2c04400000-0000-4000-8000-788041820403,Compra no débito - SPOTIFY
16/06/2026,-47.35,6f2c10100000-0000-4000-8000-788041820403,Compra no débito - CAFETERIA GRAO
17/06/2026,-43.00,6f2c11110000-0000-4000-8000-788041820403,Compra no débito - IFOOD *PEDIDO
19/06/2026,-173.11,6f2c07700000-0000-4000-8000-788041820403,Compra no débito - SUPERMERCADO SONDA
19/06/2026,-22.52,6f2c14140000-0000-4000-8000-788041820403,Compra no débito - UBER *TRIP
21/06/2026,-29.69,6f2c15150000-0000-4000-8000-788041820403,Compra no débito - POSTO IPIRANGA
24/06/2026,-230.85,6f2c05500000-0000-4000-8000-788041820403,Compra no débito - PADARIA REAL
24/06/2026,-24.01,6f2c13130000-0000-4000-8000-788041820403,Compra no débito - POSTO IPIRANGA
27/06/2026,-84.53,6f2c12120000-0000-4000-8000-788041820403,Compra no débito - CAFETERIA GRAO
27/06/2026,-89.57,6f2c18180000-0000-4000-8000-788041820403,Compra no débito - LIVRARIA CULTURA
04/07/2026,-217.90,6f2c26260000-0000-4000-8000-788041820403,Compra no débito - HORTIFRUTI
05/07/2026,6480.00,6f2c20200000-0000-4000-8000-788041820403,Transferência recebida pelo Pix - PAGADORIA XYZ LTDA
05/07/2026,-19.98,6f2c35350000-0000-4000-8000-788041820403,Compra no débito - POSTO IPIRANGA
06/07/2026,-39.22,6f2c32320000-0000-4000-8000-788041820403,Compra no débito - UBER *TRIP
07/07/2026,-75.56,6f2c28280000-0000-4000-8000-788041820403,Compra no débito - PADARIA REAL
